"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Sky Captain and the World of Tomorrow 2004","Sky Captain and the World of Tomorrow","2004","106","40000000","6.5","12579","PG","1","0","0","0","0","0","0"
"Sky Is Falling, The 2000","Sky Is Falling, The","2000","105",NA,"6.0","142","PG-13","0","0","1","1","0","0","0"
"Slackers 2002","Slackers","2002","86","11000000","4.7","2755","R","0","0","1","0","0","0","0"
"Slap Her... She's French 2002","Slap Her... She's French","2002","92","10000000","4.7","811","PG-13","0","0","1","0","0","0","0"
"Slash 2002","Slash","2002","93",NA,"4.1","287","R","0","0","0","0","0","0","0"
"Slashers 2001","Slashers","2001","97","165000","5.2","213","R","0","0","0","0","0","0","0"
"Slaughter Rule, The 2002","Slaughter Rule, The","2002","112","500000","6.0","356","R","0","0","0","1","0","0","0"
"Sleeping Dictionary, The 2003","Sleeping Dictionary, The","2003","109","12000000","6.1","696","R","0","0","0","1","0","1","0"
"Sleepover 2004","Sleepover","2004","89","10000000","4.1","733","PG","0","0","1","0","0","0","0"
"Sleepy Hollow 1999","Sleepy Hollow","1999","105","65000000","7.4","38857","R","0","0","0","0","0","0","0"
"Sleepy Time Gal, The 2001","Sleepy Time Gal, The","2001","94",NA,"6.0","159","R","0","0","0","1","0","0","0"
"Slipping-Down Life, A 1999","Slipping-Down Life, A","1999","111",NA,"5.9","148","R","0","0","0","1","0","1","0"
"Small Time Crooks 2000","Small Time Crooks","2000","94","18000000","6.5","6218","PG","0","0","1","0","0","1","0"
"Smashing Machine, The 2002","Smashing Machine, The","2002","93",NA,"7.9","163","R","0","0","0","0","0","0","0"
"Smokers, The 2000","Smokers, The","2000","90",NA,"3.1","691","R","0","0","0","1","0","0","0"
"Snatch. 2000","Snatch.","2000","102","10000000","7.9","44785","R","0","0","1","0","0","0","0"
"Snipes 2001","Snipes","2001","113",NA,"5.7","123","R","0","0","0","1","0","0","0"
"Snow Day 2000","Snow Day","2000","89","13000000","4.6","1645","PG","0","0","1","0","0","1","0"
"Snow Days 1999","Snow Days","1999","90",NA,"4.5","244","R","0","0","1","0","0","1","0"
"Snow Dogs 2002","Snow Dogs","2002","99","35000000","5.1","2379","PG","0","0","1","0","0","0","0"
"Snow Falling on Cedars 1999","Snow Falling on Cedars","1999","127","36000000","6.7","4536","PG-13","0","0","0","1","0","0","0"
"Snow Walker, The 2003","Snow Walker, The","2003","103",NA,"7.5","632","PG","0","0","0","1","0","0","0"
"Soccer Dog: The Movie 1999","Soccer Dog: The Movie","1999","98",NA,"3.9","282","PG","0","0","1","1","0","0","0"
"Soft Fruit 1999","Soft Fruit","1999","101",NA,"6.4","239","R","0","0","1","1","0","0","0"
"Sol Goode 2001","Sol Goode","2001","99","3000000","5.4","291","R","0","0","1","0","0","0","0"
"Solaris 2002","Solaris","2002","99","47000000","6.3","11808","PG-13","0","0","0","1","0","1","0"
"Solas 1999","Solas","1999","101",NA,"7.4","1024","R","0","0","0","1","0","0","0"
"Solomon and Gaenor 1999","Solomon and Gaenor","1999","102",NA,"6.6","347","R","0","0","0","1","0","1","0"
"Someone Like You... 2001","Someone Like You...","2001","97","23000000","5.7","4249","PG-13","0","0","1","0","0","1","0"
"Something's Gotta Give 2003","Something's Gotta Give","2003","128",NA,"6.8","11275","PG-13","0","0","1","1","0","1","0"
"Sometimes They Come Back... for More 1999","Sometimes They Come Back... for More","1999","89","2000000","2.8","321","R","0","0","0","0","0","0","0"
"Son de mar 2001","Son de mar","2001","96",NA,"5.8","316","R","0","0","0","1","0","1","0"
"Son of the Mask 2005","Son of the Mask","2005","94","74000000","1.9","1785","PG","1","0","1","0","0","0","0"
"Songcatcher 2000","Songcatcher","2000","109","1800000","7.2","927","PG-13","0","0","0","1","0","0","0"
"Sonny 2002","Sonny","2002","110",NA,"5.5","438","R","0","0","0","1","0","0","0"
"Sordid Lives 2000","Sordid Lives","2000","111",NA,"6.3","575","R","0","0","1","0","0","0","0"
"Sorority Boys 2002","Sorority Boys","2002","93","12000000","5.1","2398","R","0","0","1","0","0","0","0"
"Sorted 2000","Sorted","2000","102",NA,"5.3","238","R","0","0","0","0","0","0","0"
"Sorum 2001","Sorum","2001","100",NA,"6.4","156","R","0","0","0","0","0","0","0"
"Soul Assassin 2001","Soul Assassin","2001","96","7000000","4.0","376","R","1","0","0","0","0","0","0"
"Soul Plane 2004","Soul Plane","2004","92","16000000","3.2","2361","R","0","0","1","0","0","0","0"
"Soul Survivors 2001","Soul Survivors","2001","84","14000000","3.6","2305","R","0","0","0","0","0","0","0"
"Soulkeeper 2001","Soulkeeper","2001","105",NA,"4.8","283","R","1","0","1","0","0","0","0"
"Source, The 2002","Source, The","2002","97",NA,"4.3","151","R","0","0","0","0","0","0","0"
"South Park: Bigger Longer & Uncut 1999","South Park: Bigger Longer & Uncut","1999","81","21000000","7.6","33188","R","0","1","1","0","0","0","0"
"South of Heaven, West of Hell 2000","South of Heaven, West of Hell","2000","139",NA,"3.7","306","R","0","0","0","1","0","0","0"
"Spanglish 2004","Spanglish","2004","130","80000000","6.7","4698","PG-13","0","0","1","1","0","1","0"
"Spanish Judges 1999","Spanish Judges","1999","98","3500000","4.8","178","R","0","0","0","1","0","0","0"
"Spartan 2004","Spartan","2004","106",NA,"6.9","5589","R","0","0","0","1","0","0","0"
"Specials, The 2000","Specials, The","2000","82",NA,"6.0","448","R","0","0","1","0","0","0","0"
"Speedway Junky 1999","Speedway Junky","1999","105","1000000","5.3","469","R","0","0","0","1","0","0","0"
"Spider 2002","Spider","2002","94","8000000","6.8","5193","R","0","0","0","1","0","0","0"
"Spider's Web 2001","Spider's Web","2001","88",NA,"3.7","124","R","0","0","0","0","0","1","0"
"Spider-Man 2002","Spider-Man","2002","121","139000000","7.4","63228","PG-13","1","0","0","0","0","0","0"
"Spider-Man 2 2004","Spider-Man 2","2004","127","200000000","7.9","40256","PG-13","1","0","0","0","0","0","0"
"Spiders 2000","Spiders","2000","95","2000000","3.2","511","R","0","0","0","0","0","0","0"
"Spiders II: Breeding Ground 2001","Spiders II: Breeding Ground","2001","96",NA,"3.2","195","R","0","0","0","0","0","0","0"
"Spinning Boris 2003","Spinning Boris","2003","112",NA,"6.8","204","R","0","0","1","1","0","0","0"
"Splendor 1999","Splendor","1999","93",NA,"5.8","804","R","0","0","1","0","0","0","0"
"SpongeBob SquarePants Movie, The 2004","SpongeBob SquarePants Movie, The","2004","90","30000000","6.5","2672","PG","0","1","1","0","0","0","0"
"Spring Forward 1999","Spring Forward","1999","110","2000000","7.1","307","R","0","0","0","1","0","0","0"
"Spun 2002","Spun","2002","106","2800000","6.2","3924","R","0","0","1","1","0","0","0"
"Spy Game 2001","Spy Game","2001","126","92000000","7.0","16736","R","1","0","0","1","0","0","0"
"Spy Kids 2: Island of Lost Dreams 2002","Spy Kids 2: Island of Lost Dreams","2002","99","39000000","5.8","3175","PG","1","0","1","0","0","0","0"
"Spy Kids 3-D: Game Over 2003","Spy Kids 3-D: Game Over","2003","84","39000000","4.7","2597","PG","1","0","1","0","0","0","0"
"St. Ives 1999","St. Ives","1999","90",NA,"6.2","179","R","0","0","0","1","0","1","0"
"Stage Beauty 2004","Stage Beauty","2004","110",NA,"7.3","1211","R","0","0","0","1","0","0","0"
"Stander 2003","Stander","2003","111",NA,"7.2","659","R","1","0","0","1","0","0","0"
"Standing in the Shadows of Motown 2002","Standing in the Shadows of Motown","2002","108",NA,"7.7","869","PG","0","0","0","0","1","0","0"
"Stanza del figlio, La 2001","Stanza del figlio, La","2001","99",NA,"7.4","2992","R","0","0","0","1","0","0","0"
"Star Trek: Nemesis 2002","Star Trek: Nemesis","2002","116","70000000","6.5","11785","PG-13","1","0","0","1","0","0","0"
"Star Wars: Episode I - The Phantom Menace 1999","Star Wars: Episode I - The Phantom Menace","1999","133","115000000","6.4","84488","PG","1","0","0","0","0","0","0"
"Star Wars: Episode II - Attack of the Clones 2002","Star Wars: Episode II - Attack of the Clones","2002","120","120000000","7.0","63889","PG","1","0","0","0","0","0","0"
"Stardom 2000","Stardom","2000","105",NA,"5.2","499","R","0","0","1","1","0","0","0"
"Stark Raving Mad 2002","Stark Raving Mad","2002","102","5000000","6.2","601","R","0","0","1","0","0","0","0"
"Starsky & Hutch 2004","Starsky & Hutch","2004","101","60000000","6.3","13529","PG-13","1","0","1","0","0","0","0"
"Startup.com 2001","Startup.com","2001","105",NA,"7.2","1359","R","0","0","0","0","1","0","0"
"State Property 2002","State Property","2002","88",NA,"2.7","265","R","1","0","0","1","0","0","0"
"State and Main 2000","State and Main","2000","105",NA,"7.0","6995","R","0","0","1","0","0","0","0"
"Statement, The 2003","Statement, The","2003","120","23000000","6.1","710","R","0","0","0","1","0","0","0"
"Stateside 2004","Stateside","2004","97","16000000","5.4","247","R","0","0","0","1","0","0","0"
"Station Agent, The 2003","Station Agent, The","2003","88","500000","8.1","7112","R","0","0","0","1","0","0","0"
"Stealing Harvard 2002","Stealing Harvard","2002","82","25000000","4.7","2547","PG-13","0","0","1","1","0","0","0"
"Stealing Sinatra 2003","Stealing Sinatra","2003","96",NA,"5.5","137","R","0","0","1","1","0","0","0"
"Stealth Fighter 1999","Stealth Fighter","1999","88",NA,"3.6","220","R","1","0","0","1","0","0","0"
"Steamboy 2004","Steamboy","2004","126","20000000","6.6","529","PG-13","1","1","0","1","0","0","0"
"Step Into Liquid 2003","Step Into Liquid","2003","88",NA,"7.3","497","PG","0","0","0","0","1","0","0"
"Stepdaughter, The 2000","Stepdaughter, The","2000","92",NA,"3.7","114","R","0","0","0","0","0","0","0"
"Stepford Wives, The 2004","Stepford Wives, The","2004","93","90000000","5.3","7773","PG-13","0","0","1","1","0","0","0"
"Stevie 2002","Stevie","2002","140",NA,"8.2","453","R","0","0","0","0","1","0","0"
"Stickmen 2001","Stickmen","2001","98",NA,"6.6","372","R","0","0","0","1","0","0","0"
"Stickup, The 2001","Stickup, The","2001","94",NA,"6.2","230","R","1","0","0","0","0","0","0"
"Stigmata 1999","Stigmata","1999","103","32000000","6.0","14062","R","0","0","0","1","0","0","0"
"Stir of Echoes 1999","Stir of Echoes","1999","99","13000000","7.0","11433","R","0","0","0","0","0","0","0"
"Stoked: The Rise and Fall of Gator 2002","Stoked: The Rise and Fall of Gator","2002","82",NA,"7.2","238","R","0","0","0","0","1","0","0"
"Stolen Summer 2002","Stolen Summer","2002","91","1500000","6.2","801","PG","0","0","0","1","0","0","0"
"Stone Reader 2002","Stone Reader","2002","127",NA,"7.4","197","PG-13","0","0","0","1","1","0","0"
"Stonebrook 1999","Stonebrook","1999","90",NA,"4.9","125","PG-13","0","0","0","1","0","0","0"
"Storm Catcher 1999","Storm Catcher","1999","91",NA,"3.8","311","R","1","0","0","0","0","0","0"
"Storm Watch 2002","Storm Watch","2002","100",NA,"5.2","228","R","1","0","0","0","0","0","0"
"Story of Us, The 1999","Story of Us, The","1999","95","50000000","5.6","4953","R","0","0","1","1","0","1","0"
"Storytelling 2001","Storytelling","2001","87",NA,"6.7","4025","R","0","0","1","1","0","0","0"
"Strange Bedfellows 2004","Strange Bedfellows","2004","100",NA,"6.0","125","R","0","0","1","0","0","0","0"
"Stranger Than Fiction 1999","Stranger Than Fiction","1999","96",NA,"6.1","372","R","0","0","1","0","0","0","0"
"Stray, The 2000","Stray, The","2000","94",NA,"4.5","111","R","0","0","0","0","0","0","0"
"Strictly Sinatra 2001","Strictly Sinatra","2001","97",NA,"6.2","120","R","0","0","0","1","0","1","0"
"Striking Poses 1999","Striking Poses","1999","93",NA,"4.4","137","R","0","0","0","0","0","0","0"
"Stuart Little 1999","Stuart Little","1999","81","103000000","6.0","8009","PG","0","0","1","0","0","0","0"
"Stuart Little 2 2002","Stuart Little 2","2002","82","120000000","5.9","2324","PG","0","0","1","0","0","0","0"
"Stuey 2003","Stuey","2003","110",NA,"6.0","128","R","0","0","0","1","0","0","0"
"Styx 2001","Styx","2001","93",NA,"4.4","194","R","1","0","0","0","0","0","0"
"Submerged 2000","Submerged","2000","95",NA,"3.3","116","R","1","0","0","0","0","0","0"
"Subterano 2003","Subterano","2003","91",NA,"4.2","135","R","0","0","0","0","0","0","0"
"Suburbans, The 1999","Suburbans, The","1999","85",NA,"4.3","564","R","0","0","1","1","0","0","0"
"Suddenly Naked 2001","Suddenly Naked","2001","105",NA,"5.7","153","R","0","0","0","1","0","1","0"
"Sugar & Spice 2001","Sugar & Spice","2001","84","11000000","5.3","2901","PG-13","0","0","1","0","0","0","0"
"Sugar Town 1999","Sugar Town","1999","92","250000","5.8","307","R","0","0","1","0","0","0","0"
"Sum of All Fears, The 2002","Sum of All Fears, The","2002","123","68000000","6.6","15835","PG-13","1","0","0","1","0","0","0"
"Summer Catch 2001","Summer Catch","2001","105","17000000","4.5","2581","PG-13","0","0","1","0","0","1","0"
"Summer of Sam 1999","Summer of Sam","1999","142","22000000","6.5","8151","R","0","0","0","1","0","1","0"
"Sunset Strip 2000","Sunset Strip","2000","90",NA,"5.1","239","R","0","0","1","1","0","0","0"
"Sunshine 1999","Sunshine","1999","181",NA,"7.3","2920","R","0","0","0","1","0","0","0"
"Sunshine State 2002","Sunshine State","2002","141","5600000","7.0","1481","PG-13","0","0","0","1","0","0","0"
"Super Size Me 2004","Super Size Me","2004","100","300000","7.7","9487","PG-13","0","0","0","0","1","0","0"
"Super Sucker 2002","Super Sucker","2002","93",NA,"4.3","291","R","0","0","1","0","0","0","0"
"Super Troopers 2001","Super Troopers","2001","100","3000000","6.3","7728","R","0","0","1","0","0","0","0"
"SuperBabies: Baby Geniuses 2 2004","SuperBabies: Baby Geniuses 2","2004","88",NA,"1.8","2224","PG","0","0","1","0","0","0","0"
"Superstar 1999","Superstar","1999","81","14000000","4.5","2880","PG-13","0","0","1","0","0","0","0"
"Suriyothai 2001","Suriyothai","2001","142",NA,"6.7","431","R","1","0","0","1","0","0","0"
"Surviving Christmas 2004","Surviving Christmas","2004","91",NA,"4.5","1480","PG-13","0","0","1","0","0","0","0"
"Suspect Zero 2004","Suspect Zero","2004","99","27000000","5.7","1310","R","0","0","0","1","0","0","0"
"Suspicious River 2000","Suspicious River","2000","92",NA,"5.5","208","R","0","0","0","1","0","0","0"
"Svitati 1999","Svitati","1999","85",NA,"4.4","111","R","0","0","1","0","0","0","0"
"Sweepers 1999","Sweepers","1999","93","12500000","3.9","276","R","1","0","0","0","0","0","0"
"Sweet Home Alabama 2002","Sweet Home Alabama","2002","108","38000000","5.8","9943","PG-13","0","0","1","1","0","1","0"
"Sweet November 2001","Sweet November","2001","115","40000000","5.5","5458","PG-13","0","0","1","1","0","1","0"
"Sweet and Lowdown 1999","Sweet and Lowdown","1999","95",NA,"7.2","5811","PG-13","0","0","1","1","0","0","0"
"Sweetest Thing, The 2002","Sweetest Thing, The","2002","90","43000000","4.7","8284","R","0","0","1","0","0","1","0"
"Swept Away 2002","Swept Away","2002","89","10000000","3.8","2113","R","0","0","1","0","0","1","0"
"Swimfan 2002","Swimfan","2002","85","8500000","4.5","3863","PG-13","0","0","0","1","0","0","0"
"Swimming 2000","Swimming","2000","90",NA,"6.3","406","R","0","0","0","1","0","0","0"
"Swimming Pool 2003","Swimming Pool","2003","103",NA,"6.9","6936","R","0","0","0","1","0","0","0"
"Swimming Pool - Der Tod feiert mit 2001","Swimming Pool - Der Tod feiert mit","2001","89",NA,"3.4","449","R","0","0","0","0","0","0","0"
"Swimming Upstream 2003","Swimming Upstream","2003","105",NA,"7.5","259","PG-13","0","0","0","1","0","0","0"
"Swing 1999","Swing","1999","97",NA,"5.8","135","R","0","0","1","0","0","0","0"
"Swiri 1999","Swiri","1999","125","5000000","6.6","1704","R","1","0","0","0","0","1","0"
"Swordfish 2001","Swordfish","2001","99","80000000","6.2","20455","R","1","0","0","0","0","0","0"
"Sylvia 2003","Sylvia","2003","110",NA,"6.1","1213","R","0","0","0","1","0","1","0"
"Table for One, A 1999","Table for One, A","1999","96",NA,"4.7","145","R","0","0","0","0","0","0","0"
"Tadpole 2002","Tadpole","2002","78","150000","6.3","1769","PG-13","0","0","1","1","0","1","0"
"Taegukgi hwinalrimyeo 2004","Taegukgi hwinalrimyeo","2004","140","12800000","8.5","1792","R","1","0","0","1","0","0","0"
"Tail Lights Fade 1999","Tail Lights Fade","1999","87",NA,"4.3","346","R","1","0","1","1","0","0","0"
"Tailor of Panama, The 2001","Tailor of Panama, The","2001","109","18000000","6.1","5997","R","0","0","1","1","0","0","0"
"Takedown 2000","Takedown","2000","96",NA,"6.1","1469","R","1","0","0","0","0","0","0"
"Taking Lives 2004","Taking Lives","2004","109",NA,"5.7","7533","R","0","0","0","1","0","0","0"
"Talented Mr. Ripley, The 1999","Talented Mr. Ripley, The","1999","139","40000000","7.0","25974","R","0","0","0","1","0","0","0"
"Tangled 2001","Tangled","2001","86",NA,"5.5","467","R","0","0","0","0","0","0","0"
"Tao of Steve, The 2000","Tao of Steve, The","2000","81",NA,"6.8","2524","R","0","0","1","0","0","1","0"
"Tape 2001","Tape","2001","86",NA,"7.2","2976","R","0","0","0","1","0","0","0"
"Target 2004","Target","2004","84",NA,"2.4","131","R","1","0","0","0","0","0","0"
"Tart 2001","Tart","2001","94","3300000","4.6","714","R","0","0","0","1","0","0","0"
"Taxman, The 1999","Taxman, The","1999","104","1000000","5.7","169","R","1","0","1","0","0","0","0"
"Tea with Mussolini 1999","Tea with Mussolini","1999","117","12000000","6.7","2711","PG","0","0","1","1","0","0","0"
"Teacher's Pet 2004","Teacher's Pet","2004","74","10000000","5.6","218","PG","0","1","1","0","0","0","0"
"Teaching Mrs. Tingle 1999","Teaching Mrs. Tingle","1999","96","13000000","5.0","5244","PG-13","0","0","1","0","0","0","0"
"Team America: World Police 2004","Team America: World Police","2004","98","30000000","7.3","13104","R","1","0","1","0","0","0","0"
"Tears of the Sun 2003","Tears of the Sun","2003","121","70000000","6.2","8690","R","1","0","0","1","0","0","0"
"Ted Bundy 2002","Ted Bundy","2002","99","1200000","5.2","852","R","0","0","0","1","0","0","0"
"Teddy Bears' Picnic 2002","Teddy Bears' Picnic","2002","80",NA,"3.4","220","R","0","0","1","0","0","0","0"
"Tejing xinrenlei 1999","Tejing xinrenlei","1999","113",NA,"6.1","495","R","1","0","1","0","0","0","0"
"Tejing xinrenlei 2 2000","Tejing xinrenlei 2","2000","120",NA,"4.6","237","R","1","0","0","0","0","0","0"
"Teknolust 2002","Teknolust","2002","85",NA,"5.1","259","R","0","0","0","1","0","1","0"
"Telmisseomding 1999","Telmisseomding","1999","118",NA,"6.7","575","R","0","0","0","0","0","0","0"
"Tempo 2003","Tempo","2003","85",NA,"4.7","192","R","0","0","0","0","0","1","0"
"Temps du loup, Le 2003","Temps du loup, Le","2003","114",NA,"6.4","557","R","0","0","0","1","0","0","0"
"Tempted 2001","Tempted","2001","97",NA,"5.4","246","R","0","0","0","0","0","0","0"
"Tequila Body Shots 1999","Tequila Body Shots","1999","97",NA,"3.2","110","R","0","0","1","0","0","0","0"
"Terminal Error 2002","Terminal Error","2002","120",NA,"4.7","122","PG-13","0","0","0","0","0","0","0"
"Terminal, The 2004","Terminal, The","2004","128","60000000","7.1","15809","PG-13","0","0","1","1","0","1","0"
"Terminator 3: Rise of the Machines 2003","Terminator 3: Rise of the Machines","2003","109","175000000","6.9","32111","R","1","0","0","0","0","0","0"
"Terror Firmer 1999","Terror Firmer","1999","98",NA,"5.6","782","R","0","0","1","0","0","0","0"
"Terror Tract 2000","Terror Tract","2000","96","11000000","5.6","281","R","0","0","1","0","0","0","0"
"Tesseract, The 2003","Tesseract, The","2003","96",NA,"5.2","165","R","1","0","0","1","0","0","0"
"Testosterone 2003","Testosterone","2003","105",NA,"5.4","137","R","0","0","0","1","0","0","0"
"Texas Chainsaw Massacre, The 2003","Texas Chainsaw Massacre, The","2003","98","9200000","5.9","9587","R","1","0","0","0","0","0","0"
"Texas Funeral, A 1999","Texas Funeral, A","1999","98",NA,"6.4","136","R","0","0","1","1","0","0","0"
"Texas Rangers 2001","Texas Rangers","2001","86","38000000","5.1","945","PG-13","0","0","0","1","0","0","0"
"They 2002","They","2002","89","17000000","4.4","2660","PG-13","0","0","0","0","0","0","0"
"They Crawl 2001","They Crawl","2001","93",NA,"3.5","132","R","0","0","0","0","0","0","0"
"Things Behind the Sun 2001","Things Behind the Sun","2001","120",NA,"7.5","347","R","0","0","0","1","0","0","0"
"Things You Can Tell Just by Looking at Her 2000","Things You Can Tell Just by Looking at Her","2000","109",NA,"6.6","1779","PG-13","0","0","0","1","0","1","0"
"Thir13en Ghosts 2001","Thir13en Ghosts","2001","87","20000000","5.1","8292","R","0","0","1","0","0","0","0"
"Third Miracle, The 1999","Third Miracle, The","1999","119",NA,"6.7","997","R","0","0","0","1","0","0","0"
"Thirteen 2003","Thirteen","2003","100","1500000","7.1","8652","R","0","0","0","1","0","0","0"
"Thirteen Conversations About One Thing 2001","Thirteen Conversations About One Thing","2001","104","3000000","7.2","2883","R","0","0","0","1","0","0","0"
"Thirteen Days 2000","Thirteen Days","2000","145","80000000","7.4","10926","PG-13","0","0","0","1","0","0","0"
"Thirteenth Floor, The 1999","Thirteenth Floor, The","1999","100","16000000","6.4","7712","R","0","0","0","0","0","0","0"
"This Girl's Life 2003","This Girl's Life","2003","104",NA,"6.3","284","R","0","0","0","1","0","0","0"
"Thomas Crown Affair, The 1999","Thomas Crown Affair, The","1999","113","48000000","6.7","17220","R","0","0","1","0","0","1","0"
"Thomas est amoureux 2000","Thomas est amoureux","2000","97",NA,"7.2","623","R","0","0","1","1","0","0","0"
"Three Blind Mice 2003","Three Blind Mice","2003","93",NA,"4.3","207","R","0","0","0","0","0","0","0"
"Three Kings 1999","Three Kings","1999","114","48000000","7.3","31503","R","1","0","1","1","0","0","0"
"Three Seasons 1999","Three Seasons","1999","104",NA,"7.2","1027","PG-13","0","0","0","1","0","0","0"
"Three to Tango 1999","Three to Tango","1999","98","20000000","6.0","5719","PG-13","0","0","1","0","0","1","0"
"Thunderbirds 2004","Thunderbirds","2004","95","57000000","4.4","1419","PG","1","0","1","0","0","0","0"
"Tian di ying xiong 2003","Tian di ying xiong","2003","115",NA,"6.4","567","R","1","0","0","1","0","0","0"
"Tic Code, The 1999","Tic Code, The","1999","91",NA,"5.8","164","R","0","0","0","1","0","0","0"
"Tick Tock 2000","Tick Tock","2000","93",NA,"5.8","163","R","0","0","0","1","0","0","0"
"Ticker 2001","Ticker","2001","92",NA,"3.3","1491","R","1","0","0","0","0","0","0"
"Tigerland 2000","Tigerland","2000","100",NA,"7.2","5945","R","0","0","0","1","0","0","0"
"Till Human Voices Wake Us 2002","Till Human Voices Wake Us","2002","101",NA,"6.0","456","R","0","0","0","1","0","0","0"
"Tillsammans 2000","Tillsammans","2000","106",NA,"7.5","4277","R","0","0","1","1","0","0","0"
"Time Changer 2002","Time Changer","2002","95","825000","4.5","304","PG","0","0","0","1","0","0","0"
"Time Machine, The 2002","Time Machine, The","2002","96","80000000","5.5","12424","PG-13","1","0","0","0","0","0","0"
"Time Served 1999","Time Served","1999","94",NA,"3.1","115","R","0","0","0","1","0","0","0"
"Time Share 2000","Time Share","2000","87",NA,"5.2","327","PG","0","0","1","0","0","1","0"
"Timecode 2000","Timecode","2000","97","4000000","6.2","2320","R","0","0","1","1","0","0","0"
"Timecop: The Berlin Decision 2003","Timecop: The Berlin Decision","2003","82",NA,"4.8","346","R","1","0","0","0","0","0","0"
"Timeline 2003","Timeline","2003","116","80000000","5.2","5803","PG-13","0","0","0","0","0","0","0"
"Timequest 2002","Timequest","2002","92",NA,"4.4","147","R","0","0","0","0","0","0","0"
"Tiptoes 2003","Tiptoes","2003","90",NA,"4.9","443","R","0","0","1","1","0","1","0"
"Titan A.E. 2000","Titan A.E.","2000","94","75000000","6.4","9373","PG","1","1","0","0","0","0","0"
"Titus 1999","Titus","1999","162",NA,"7.2","5465","R","0","0","0","1","0","0","0"
"To End All Wars 2001","To End All Wars","2001","110",NA,"7.1","1447","R","1","0","0","1","0","0","0"
"To Walk with Lions 1999","To Walk with Lions","1999","108",NA,"6.1","151","PG-13","0","0","0","1","0","0","0"
"Todo sobre mi madre 1999","Todo sobre mi madre","1999","101",NA,"7.9","13497","R","0","0","1","1","0","0","0"
"Tokyo Godfathers 2003","Tokyo Godfathers","2003","93",NA,"7.6","904","PG-13","0","1","1","1","0","0","0"
"Tomcats 2001","Tomcats","2001","95","11000000","4.7","3717","R","0","0","1","0","0","0","0"
"Toolbox Murders 2003","Toolbox Murders","2003","95",NA,"5.1","542","R","0","0","0","0","0","0","0"
"Top of the Food Chain 1999","Top of the Food Chain","1999","99",NA,"5.9","280","PG-13","0","0","1","0","0","0","0"
"Topsy-Turvy 1999","Topsy-Turvy","1999","160",NA,"7.4","3637","R","0","0","1","1","0","0","0"
"Torque 2004","Torque","2004","81","40000000","3.2","4050","PG-13","1","0","0","0","0","0","0"
"Tortilla Soup 2001","Tortilla Soup","2001","103",NA,"5.9","1194","PG-13","0","0","1","1","0","1","0"
"Totally Blonde 2001","Totally Blonde","2001","94",NA,"3.6","168","PG-13","0","0","1","0","0","0","0"
"Touch of Pink 2004","Touch of Pink","2004","91",NA,"6.8","486","R","0","0","1","1","0","1","0"
"Touch, The 2002","Touch, The","2002","103","20000000","4.5","417","PG-13","1","0","0","0","0","1","0"
"Touching the Void 2003","Touching the Void","2003","106",NA,"8.1","3671","R","0","0","0","1","1","0","0"
"Town & Country 2001","Town & Country","2001","104","90000000","4.5","1434","R","0","0","1","0","0","0","0"
"Traffic 2000","Traffic","2000","147","48000000","7.8","41268","R","0","0","0","1","0","0","0"
"Training Day 2001","Training Day","2001","120","45000000","7.3","22776","R","0","0","0","1","0","0","0"
"Transporter, The 2002","Transporter, The","2002","92",NA,"6.0","9150","PG-13","1","0","0","0","0","0","0"
"Trapped 2002","Trapped","2002","106","30000000","6.0","3718","R","0","0","0","0","0","0","0"
"Treasure Planet 2002","Treasure Planet","2002","95","140000000","6.6","3724","PG","0","1","0","1","0","0","0"
"Trekkies 2 2004","Trekkies 2","2004","93",NA,"6.4","128","PG","0","0","0","0","1","0","0"
"Tribulation 2000","Tribulation","2000","95",NA,"4.4","178","PG-13","0","0","0","1","0","0","0"
"Trick 1999","Trick","1999","89",NA,"6.8","2234","R","0","0","1","0","0","1","0"
"Triggermen 2002","Triggermen","2002","96","12000000","5.8","317","R","0","0","1","0","0","0","0"
"Triplettes de Belleville, Les 2003","Triplettes de Belleville, Les","2003","78","8000000","7.7","6618","PG-13","0","1","1","0","0","0","0"
"Trippin' 1999","Trippin'","1999","94",NA,"4.3","291","R","0","0","1","0","0","0","0"
"Triumph of Love, The 2001","Triumph of Love, The","2001","112","5000000","5.7","423","PG-13","0","0","1","0","0","1","0"
"Trixie 2000","Trixie","2000","116",NA,"4.8","552","R","0","0","1","0","0","0","0"
"Trois 2000","Trois","2000","93","200000","3.1","176","R","0","0","0","0","0","0","0"
"Troy 2004","Troy","2004","162","185000000","7.1","33979","R","1","0","0","1","0","1","0"
"True Blue 2001","True Blue","2001","97",NA,"5.2","185","R","0","0","0","1","0","0","0"
"True Crime 1999","True Crime","1999","127",NA,"6.3","5116","R","0","0","0","1","0","0","0"
"Truth About Charlie, The 2002","Truth About Charlie, The","2002","104",NA,"4.6","2417","PG-13","0","0","0","0","0","0","0"
"Try Seventeen 2002","Try Seventeen","2002","96",NA,"6.1","1373","R","0","0","1","1","0","1","0"
"Tuck Everlasting 2002","Tuck Everlasting","2002","96","15000000","6.5","2055","PG","0","0","0","1","0","1","0"
"Tully 2000","Tully","2000","102",NA,"7.5","630","R","0","0","0","1","0","0","0"
"Tumbleweeds 1999","Tumbleweeds","1999","102","312000","6.9","1146","PG-13","0","0","1","1","0","0","0"
